State,District,Year,Groundwater_Level_m,Category,Recharge_BCM,Extraction_BCM
Punjab,Mansa,2016,13.7,Critical,0.118,0.140
Punjab,Mansa,2017,14.1,Critical,0.116,0.142
Punjab,Mansa,2018,14.4,Critical,0.115,0.143
Punjab,Mansa,2019,14.6,Critical,0.114,0.144
Punjab,Mansa,2020,14.7,Critical,0.115,0.144
Punjab,Mansa,2021,14.8,Critical,0.114,0.145
Punjab,Mansa,2022,14.8,Critical,0.114,0.145
Punjab,Mansa,2023,14.9,Critical,0.114,0.145
Punjab,Moga,2014,23.2,Over-Exploited,0.105,0.125
Punjab,Moga,2015,23.9,Over-Exploited,0.101,0.128
Punjab,Moga,2016,24.4,Over-Exploited,0.098,0.130
Punjab,Moga,2017,24.9,Over-Exploited,0.096,0.132
Punjab,Moga,2018,25.3,Over-Exploited,0.094,0.133
Punjab,Moga,2019,25.6,Over-Exploited,0.093,0.134
Punjab,Moga,2020,25.7,Over-Exploited,0.093,0.135
Punjab,Moga,2021,25.7,Over-Exploited,0.092,0.135
Punjab,Moga,2022,25.8,Over-Exploited,0.092,0.136
Punjab,Moga,2023,25.8,Over-Exploited,0.092,0.136
Punjab,Muktsar,2014,2.8,Safe,0.089,0.045
Punjab,Muktsar,2015,3.0,Safe,0.086,0.047
Punjab,Muktsar,2016,3.2,Safe,0.084,0.048
Punjab,Muktsar,2017,3.4,Safe,0.083,0.049
Punjab,Muktsar,2018,3.5,Safe,0.082,0.050
Punjab,Muktsar,2019,3.6,Safe,0.081,0.050
Punjab,Muktsar,2020,3.6,Safe,0.081,0.051
Punjab,Muktsar,2021,3.7,Safe,0.081,0.051
Punjab,Muktsar,2022,3.7,Safe,0.081,0.051
Punjab,Muktsar,2023,3.7,Safe,0.081,0.051
Punjab,Pathankot,2014,7.2,Safe,0.095,0.058
Punjab,Pathankot,2015,7.6,Safe,0.092,0.060
Punjab,Pathankot,2016,7.9,Safe,0.090,0.061
Punjab,Pathankot,2017,8.2,Safe,0.089,0.062
Punjab,Pathankot,2018,8.4,Safe,0.088,0.063
Punjab,Pathankot,2019,8.6,Safe,0.087,0.064
Punjab,Pathankot,2020,8.7,Safe,0.087,0.064
Punjab,Pathankot,2021,8.8,Safe,0.087,0.065
Punjab,Pathankot,2022,8.8,Safe,0.087,0.065
Punjab,Pathankot,2023,8.9,Safe,0.087,0.065
Punjab,Patiala,2014,27.2,Over-Exploited,0.168,0.218
Punjab,Patiala,2015,28.1,Over-Exploited,0.163,0.222
Punjab,Patiala,2016,28.8,Over-Exploited,0.159,0.225
Punjab,Patiala,2017,29.4,Over-Exploited,0.157,0.228
Punjab,Patiala,2018,29.8,Over-Exploited,0.155,0.230
Punjab,Patiala,2019,30.1,Over-Exploited,0.153,0.231
Punjab,Patiala,2020,30.2,Over-Exploited,0.153,0.232
Punjab,Patiala,2021,30.2,Over-Exploited,0.152,0.232
Punjab,Patiala,2022,30.3,Over-Exploited,0.152,0.233
Punjab,Patiala,2023,30.3,Over-Exploited,0.152,0.233
Punjab,Rupnagar,2014,12.2,Semi-Critical,0.086,0.088
Punjab,Rupnagar,2015,12.7,Semi-Critical,0.083,0.090
Punjab,Rupnagar,2016,13.1,Semi-Critical,0.081,0.092
Punjab,Rupnagar,2017,13.4,Semi-Critical,0.080,0.093
Punjab,Rupnagar,2018,13.7,Semi-Critical,0.079,0.094
Punjab,Rupnagar,2019,13.8,Semi-Critical,0.078,0.094
Punjab,Rupnagar,2020,13.9,Semi-Critical,0.078,0.095
Punjab,Rupnagar,2021,13.9,Semi-Critical,0.078,0.095
Punjab,Rupnagar,2022,14.0,Semi-Critical,0.078,0.095
Punjab,Rupnagar,2023,14.0,Semi-Critical,0.078,0.095
Punjab,Sangrur,2014,30.2,Over-Exploited,0.178,0.265
Punjab,Sangrur,2015,31.2,Over-Exploited,0.172,0.268
Punjab,Sangrur,2016,31.9,Over-Exploited,0.168,0.271
Punjab,Sangrur,2017,32.5,Over-Exploited,0.165,0.274
Punjab,Sangrur,2018,32.9,Over-Exploited,0.163,0.277
Punjab,Sangrur,2019,33.3,Over-Exploited,0.161,0.279
Punjab,Sangrur,2020,33.6,Over-Exploited,0.162,0.281
Punjab,Sangrur,2021,33.7,Over-Exploited,0.161,0.282
Punjab,Sangrur,2022,33.9,Over-Exploited,0.160,0.283
Punjab,Sangrur,2023,34.0,Over-Exploited,0.160,0.284
Punjab,SAS Nagar,2014,20.2,Critical,0.078,0.082
Punjab,SAS Nagar,2015,20.8,Critical,0.075,0.084
Punjab,SAS Nagar,2016,21.3,Critical,0.073,0.085
Punjab,SAS Nagar,2017,21.7,Critical,0.071,0.086
Punjab,SAS Nagar,2018,22.1,Critical,0.070,0.087
Punjab,SAS Nagar,2019,22.4,Critical,0.069,0.088
Punjab,SAS Nagar,2020,22.5,Critical,0.069,0.088
Punjab,SAS Nagar,2021,22.6,Critical,0.068,0.089
Punjab,SAS Nagar,2022,22.7,Critical,0.068,0.089
Punjab,SAS Nagar,2023,22.8,Critical,0.068,0.089
Punjab,SBS Nagar,2014,17.8,Semi-Critical,0.062,0.065
Punjab,SBS Nagar,2015,18.4,Semi-Critical,0.059,0.067
Punjab,SBS Nagar,2016,18.8,Semi-Critical,0.057,0.068
Punjab,SBS Nagar,2017,19.2,Semi-Critical,0.056,0.069
Punjab,SBS Nagar,2018,19.5,Semi-Critical,0.055,0.070
Punjab,SBS Nagar,2019,19.7,Semi-Critical,0.055,0.070
Punjab,SBS Nagar,2020,19.8,Semi-Critical,0.055,0.071
Punjab,SBS Nagar,2021,19.8,Semi-Critical,0.055,0.071
Punjab,SBS Nagar,2022,19.9,Semi-Critical,0.055,0.071
Punjab,SBS Nagar,2023,19.9,Semi-Critical,0.055,0.071
Punjab,Tarn Taran,2014,16.8,Critical,0.155,0.172
Punjab,Tarn Taran,2015,17.3,Critical,0.150,0.175
Punjab,Tarn Taran,2016,17.7,Critical,0.147,0.177
Punjab,Tarn Taran,2017,18.1,Critical,0.144,0.179
Punjab,Tarn Taran,2018,18.4,Critical,0.142,0.180
Punjab,Tarn Taran,2019,18.6,Critical,0.141,0.181
Punjab,Tarn Taran,2020,18.7,Critical,0.141,0.181
Punjab,Tarn Taran,2021,18.8,Critical,0.140,0.182
Punjab,Tarn Taran,2022,18.9,Critical,0.140,0.182
Punjab,Tarn Taran,2023,19.0,Critical,0.140,0.182
Punjab,Malerkotla,2014,23.8,Over-Exploited,0.052,0.058
Punjab,Malerkotla,2015,24.5,Over-Exploited,0.050,0.060
Punjab,Malerkotla,2016,25.0,Over-Exploited,0.048,0.061
Punjab,Malerkotla,2017,25.5,Over-Exploited,0.047,0.062
Punjab,Malerkotla,2018,25.9,Over-Exploited,0.046,0.063
Punjab,Malerkotla,2019,26.2,Over-Exploited,0.045,0.064
Punjab,Malerkotla,2020,26.3,Over-Exploited,0.045,0.065
Punjab,Malerkotla,2021,26.3,Over-Exploited,0.045,0.066
Punjab,Malerkotla,2022,26.4,Over-Exploited,0.045,0.066
Punjab,Malerkotla,2023,26.4,Over-Exploited,0.045,0.067
Haryana,Ambala,2014,18.2,Critical,0.168,0.252
Haryana,Ambala,2015,18.7,Critical,0.165,0.255
Haryana,Ambala,2016,19.2,Critical,0.162,0.258
Haryana,Ambala,2017,19.6,Critical,0.160,0.261
Haryana,Ambala,2018,20.1,Critical,0.158,0.264
Haryana,Ambala,2019,20.5,Critical,0.156,0.267
Haryana,Ambala,2020,20.8,Critical,0.155,0.269
Haryana,Ambala,2021,21.2,Critical,0.154,0.271
Haryana,Ambala,2022,21.5,Critical,0.153,0.273
Haryana,Ambala,2023,21.8,Critical,0.152,0.275
Haryana,Bhiwani,2014,16.8,Critical,0.285,0.415
Haryana,Bhiwani,2015,17.4,Critical,0.280,0.420
Haryana,Bhiwani,2016,17.9,Critical,0.276,0.424
Haryana,Bhiwani,2017,18.4,Critical,0.273,0.428
Haryana,Bhiwani,2018,18.8,Critical,0.270,0.432
Haryana,Bhiwani,2019,19.2,Critical,0.268,0.435
Haryana,Bhiwani,2020,19.5,Critical,0.266,0.438
Haryana,Bhiwani,2021,19.8,Critical,0.264,0.441
Haryana,Bhiwani,2022,20.1,Critical,0.262,0.444
Haryana,Bhiwani,2023,20.4,Critical,0.261,0.447
Haryana,Charkhi Dadri,2014,11.2,Semi-Critical,0.095,0.118
Haryana,Charkhi Dadri,2015,11.6,Semi-Critical,0.093,0.120
Haryana,Charkhi Dadri,2016,12.0,Semi-Critical,0.091,0.122
Haryana,Charkhi Dadri,2017,12.4,Semi-Critical,0.089,0.124
Haryana,Charkhi Dadri,2018,12.7,Semi-Critical,0.088,0.126
Haryana,Charkhi Dadri,2019,13.0,Semi-Critical,0.087,0.128
Haryana,Charkhi Dadri,2020,13.3,Semi-Critical,0.086,0.130
Haryana,Charkhi Dadri,2021,13.5,Semi-Critical,0.085,0.131
Haryana,Charkhi Dadri,2022,13.8,Semi-Critical,0.084,0.133
Haryana,Charkhi Dadri,2023,14.0,Semi-Critical,0.083,0.135
Haryana,Faridabad,2014,24.8,Over-Exploited,0.095,0.172
Haryana,Faridabad,2015,25.3,Over-Exploited,0.093,0.175
Haryana,Faridabad,2016,25.8,Over-Exploited,0.091,0.178
Haryana,Faridabad,2017,26.2,Over-Exploited,0.089,0.181
Haryana,Faridabad,2018,26.6,Over-Exploited,0.088,0.184
Haryana,Faridabad,2019,27.0,Over-Exploited,0.087,0.186
Haryana,Faridabad,2020,27.3,Over-Exploited,0.086,0.188
Haryana,Faridabad,2021,27.6,Over-Exploited,0.085,0.190
Haryana,Faridabad,2022,27.9,Over-Exploited,0.084,0.192
Haryana,Faridabad,2023,28.2,Over-Exploited,0.083,0.194
Haryana,Fatehabad,2014,23.5,Over-Exploited,0.168,0.297
Haryana,Fatehabad,2015,24.1,Over-Exploited,0.165,0.301
Haryana,Fatehabad,2016,24.6,Over-Exploited,0.162,0.305
Haryana,Fatehabad,2017,25.1,Over-Exploited,0.160,0.309
Haryana,Fatehabad,2018,25.5,Over-Exploited,0.158,0.312
Haryana,Fatehabad,2019,25.9,Over-Exploited,0.156,0.315
Haryana,Fatehabad,2020,26.2,Over-Exploited,0.155,0.318
Haryana,Fatehabad,2021,26.5,Over-Exploited,0.154,0.321
Haryana,Fatehabad,2022,26.8,Over-Exploited,0.153,0.323
Haryana,Fatehabad,2023,27.1,Over-Exploited,0.152,0.326
Haryana,Gurugram,2014,26
